NCTId,Title,Condition,Eligibility,Status
NCT05286827,Olaparib in Subjects With Advanced Pancreatic Acinar Cell Carcinoma,Pancreatic Acinar Cell Carcinoma,"-INCLUSION CRITERIA:

1. Histological or cytological diagnosis of Pancreatic Acinar Cell Carcinoma (PACC) as confirmed by NIH Laboratory of Pathology.
2. Participants must have received one prior line of combination chemotherapy (or be ineligible to receive combination chemotherapy) with tumor still not amenable for potentially curative resection or be ineligible to receive combination chemotherapy. There is no limit on the number of prior therapies.
3. Access to medical records from past treatment
4. Measurable disease, per RECIST 1.1.
5. Age \>=18 years.
6. ECOG performance status \<=1.
7. At least 3 weeks from previous chemotherapy or radiation therapy prior to planned start of treatment.
8. At least 30 days or 5 half-lives (whichever is greater) since receipt of any investigational therapy prior to planned start of treatment.
9. Fully recovered from all reversible sequalae and \>=2 weeks from major surgery or from minor surgical procedure such as biliary or duodenal stenting prior to planned start of treatment.
10. At least 2 weeks since last use of known strong CYP3A inhibitors (e.g., itraconazole, telithromycin, clarithromycin, protease inhibitors boosted with ritonavir or cobicistat, indinavir, saquinavir, nelfinavir, boceprevir, telaprevir) or moderate CYP3A inhibitors (e.g., ciprofloxacin, erythromycin, diltiazem, fluconazole, verapamil).
11. At least 5 weeks since last use of phenobarbital, enzalutamide, and at least 3 weeks since last use of other strong (e.g., phenytoin, rifampicin, rifabutin, rifapentine, carbamazepine, nevirapine and St John s Wort) or moderate (e.g., bosentan, efavirenz, modafinil) CYP3A inducers.
12. Adequate organ and marrow function as measured within 28 days prior to study treatment as defined below:

    * leukocytes \>=3,000/mcL
    * absolute neutrophil count \>=1,500/mcL
    * hemoglobin \>= 10 g/dL with no blood transfusion within the last 28 days
    * platelets \>=100,000/mcL
    * total bilirubin within 1.5x normal institutional upper limit of normal (ULN)
    * AST(SGOT)/ALT(SGPT) \<= institutional ULN unless liver metastases are present in which case they may be \<=5x ULN
    * Creatinine clearance must be \>51 mL/min as estimated using the Cockroft-Gault equation\* or measured by 24- hour urine test

      * Estimated creatinine clearance = (140-age \[years\]) x weight (kg) (x F) serum/ creatinine (mg/dL) x 72\^a, where F=0.85 for females and F=1 for males

    This list includes eligibility-defining laboratory value requirements for treatment; laboratory value requirements should be adapted according to local regulations and guidelines for the administration of specific chemotherapies.
13. The effects of olaparib on the developing human fetus are unknown. For this reason and because PARP inhibitor agents are known to be teratogenic, women of child-bearing potential and men must agree to use adequate contraception prior to study entry and for the duration of study participation.
14. Participants must agree to abstain from consuming grapefruit juice throughout the duration of study treatment with olaparib.
15. Ability of subject to understand and the willingness to sign a written informed consent document.

EXCLUSION CRITERIA:

1. History of allergic reactions attributed to compounds of similar chemical or biologic composition to olaparib.
2. Participants unable to swallow orally administered medication or suffering from GI disorders likely to interfere with absorption of study medication.
3. Participants with HIV are excluded even if viral load is undetectable
4. Active hepatitis B or C
5. Resting ECG indicating uncontrolled, potentially reversible cardiac conditions, as judged by the investigator (e.g., unstable ischemia, uncontrolled symptomatic arrhythmia, congestive heart failure, QTcF prolongation \>500 ms, electrolyte disturbances, etc.), or participants with congenital long QT syndrome.
6. Recent (within 3 months) myocardial infarction
7. Unstable angina pectoris.
8. Symptomatic congestive heart failure
9. Uncontrolled major seizure disorder
10. Superior vena cava syndrome
11. Extensive interstitial bilateral lung disease on High Resolution Computed Tomography (HRCT) scan
12. Psychiatric illness/social situations (within the last 3 months) that would limit compliance with study requirements or prohibits obtaining informed consent
13. Uncontrolled intercurrent illness or participants considered a poor medical risk due to a serious, uncontrolled medical disorder, non-malignant systemic disease or active uncontrolled infection as documented in prior records or suggested by medical history, physical examination or standard clinical assessments such as imaging and laboratory studies
14. Participants with myelodysplastic syndrome/acute myeloid leukemia or with features suggestive of MDS/AML.
15. Solid or liquid malignancy other than PACC unless curatively treated with no evidence of disease for \>=5 years, except: adequately treated non-melanoma skin cancer, curatively treated in situ cancer of the cervix, ductal carcinoma in situ (DCIS), Stage 1, grade 1 endometrial carcinoma.
16. Previous allogenic bone marrow transplant or double umbilical cord blood transplantation (dUCBT).
17. Women who are breastfeeding and unwilling to stop.
18. Participants with symptomatic uncontrolled brain metastases. A scan to confirm the absence of brain metastases is not required. Brain metastases are considered uncontrolled if the dose of corticosteroid being provided for control of brain metastases has been titrated in the 4 weeks prior to start of treatment.
19. Participants with spinal cord compression unless considered to have received definitive treatment for this and evidence of clinically stable disease for \>=28 days. Participants with unstable spinal cord compression are ineligible even if previously treated.
20. Participants with large volume ascites, serum albumin \< 2.5 mg/dL, or having received paracentesis within the last 4 weeks
21. Participants with persistent toxicities \> grade 2 or with new grade 2 events within the last 2 weeks per Common Terminology Criteria for Adverse Event (CTCAE) version 5 caused by previous cancer therapy.",RECRUITING
NCT06265727,A Phase 1/2 Study to Investigate CRB-701 in Solid Tumors,"Solid Tumor, Adult","Inclusion Criteria:

* Confirmed diagnosis of select advanced or metastatic nectin-4 expressing solid tumors that have progressed following at least one line of therapy or have no other standard therapy with proven clinical benefit.

Exclusion Criteria:

* Active of uncontrolled CNS metastases
* History of solid tumors other than the diseases under study
* History of and/or current cardiovascular events or conditions in the previous 6 months
* Pre-existing \>/= Grade 2 neuropathy
* Hemoglobin A1C (HbA1C) \>/= 8%, uncontrolled diabetes mellitus or know diabetic neuropathy
* Active ocular disease at baseline
* Chronic severe liver disease or live cirrhosis
* Interstitial lung disease or pneumonitis within 6 months on initiating treatment on study
* Other significant cormorbidities.",RECRUITING
NCT05706376,An Evidence-based Family Support Program for Parents and Children in Palestine: A Theory-based Intervention,"Adolescent, Psychopathology, Parent-Child Relations, Violence","Inclusion Criteria:

* a willing adolescent between the ages of 13 and 16
* assuming a two-parent family, a mother and father willing to participate
* within the service area of implementing organizations

Exclusion Criteria:

* Families with individuals with significant mental or physical impairments precluding their ability to participate in groups",RECRUITING
NCT03460327,Bariatric Surgery and Pharmacokinetics of Candesartan,"Obesity, Morbid","Inclusion Criteria:

* Preparing to undergo gastric bypass or sleeve gastrectomy in Central Norway
* Being a Norwegian citizen

Exclusion Criteria:

* Having previously undergone resections in the GI-tract",RECRUITING
NCT05809427,High Frequency Intraoral Ultrasound Probe for Early Diagnosis of Periodontal Diseases,Periodontal Diseases,"Patient Inclusion Criteria :

Age ≥ 18 years Affiliated to a social security scheme Free, informed and signed consent Ability for participant to comply with the requirements of the study

Exclusion Criteria (patient):

Surgical procedure performed in the area to be scanned Osteosynthesis material Under legal protection Pregnant women, breastfeeding Teeth Inclusion Criteria Minimum of 10 teeth One tooth from each sextant Presence of at least 1/3 of pathological sites (\>4mm and/or deep sites \>6mm)",RECRUITING
NCT04886427,Implementation of a Multidimensional Quality Model,"Management Systems, Quality Improvement, Public Health","Inclusion Criteria:

* 18 years old
* Treated/working in the hospital

Exclusion Criteria:

* Do not understand Dutch",RECRUITING
NCT04448327,Impact of Transcutaneous Vagal Nerve Stimulation on Stress Response in Major Depression,Major Depressive Disorder,"Inclusion Criteria:

* Current or past diagnosis of recurrent Major Depressive Disorder

Exclusion Criteria:

* History of neuroleptic use
* Any psychiatric disorder involving a history of psychosis (e.g. schizophrenia, bipolar I disorder)
* Active suicidal ideation with intent and/or plan or history of a suicide attempt within the last year
* Moderate or severe substance use disorder within the past 12 months
* Diagnosis of significant cardiovascular or cerebrovascular disease (e.g. congestive heart failure, stroke, cardiac conduction disorders, history of asystole or non-sustained ventricular tachycardia)
* Diseases affecting the CNS (e.g. MS, epilepsy, neurodegenerative diseases, etc.)
* Traumatic brain injury with cognitive sequelae
* MRI or tVNS contraindications (e.g. claustrophobia, metallic implants or devices)
* Pregnancy (uncommon, given the age of this cohort is 50+ years) due to unknown health risks for the fetus",RECRUITING
NCT05555927,Adjunctive Duration-doubled tDCS for the Treatment of Depressive Patients With Suicidal Ideation,Suicidal Ideation,"Inclusion Criteria:

1. Ages are from 18 to 50;
2. Meeting the criteria of the Diagnostic and Statistical Manual of Mental Disorder (DSM-5) for current unipolar MDD, which is assessed by at least one professional psychiatrist;
3. Han ethnicity;
4. Right handedness;
5. With a score≥17 on the HAMD-1713;
6. With a score≥6 on the BSI14;
7. Without any pharmacotherapy at baseline or maintaining actual pharmacotherapy for at least 2 weeks before the stimulation initiation and during the total stimulation period.

Exclusion Criteria:

1. Assessed through applying the Mini-International Neuropsychiatric Interview (MINI)15 by professional psychiatrists that diagnosed any other current or past psychiatric axis-I disorders (except MDD in the patients);
2. Severe liver and kidney diseases, active endocrine diseases or clinical symptoms. Severe cardiovascular disease, respiratory system disease, haematologic diseases and cancer;
3. Any clinically significant abnormal laboratory examination that may influence the health of participants;
4. A history of any aignificant medical illness such as neurological disorders (such as cerebral trauma, seizure disorder, etc);
5. Known current psychosis as determined by the DSM-5 or a history of a non-mood psychotic disorder;
6. Current alcohol and drug abuse;
7. Pregnancy or lactation;
8. Abnormal scalp such as open wounds;
9. HAMD-17 item 3 (suicide) score=4;
10. Receiving modified electroconvulsive therapy (MECT) or repetitive transcranial magnetic stimulation (rTMS) in the past 1 month;
11. Participation in another clinical trial concurrently or no more than 1 month prior to randomisation.",RECRUITING
NCT06527027,"LN-RADS, RECIST 1.1 and Node-RADS Classification in the Assessment of Lymph Nodes","Lymph Node Neoplasm, Lymph Node Metastasis","Inclusion Criteria:

* diagnosed or suspected cancer,
* planned lymph node biopsy or lymphadenectomy,
* planned or performed CT/MRI covering an area of the body with lymph nodes, - verified histopathologically or cytologically,
* informed consent to participate in the study.

Exclusion Criteria:

* non-diagnostic CT/MRI images of lymph nodes due to reasons such as movement artifacts, artifacts from metal elements and any other factors that do not allow for proper assessment of the nodes,
* inconclusive histopathological or cytological results, which do not allow the nodes to be classified into one of two groups - benign or malignant.",RECRUITING
NCT03269227,Accelerated Hypofractionated Radiotherapy in the Treatment of Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma,"Inclusion Criteria:

1. Patients must have histologically or cytologically confirmed MPM
2. Karnofsky Performance status scale 70-100 (see Appendix B)
3. Male or female, Aged \>= 18 and ≤ 85 years
4. Life expectancy greater than 6 months
5. All clinical and pathological stage with the exclusion of contralateral mediastinum involvement (N3) and M1
6. Patients must have normal organ and marrow function as defined below:

   * leukocytes \>3,000/microL
   * absolute neutrophil count \>1,500/microL
   * platelets \>100,000/microL
   * aspartate transaminase(AST)/alanine transaminase (ALT) \<2.5 X institutional upper limit of normal
   * creatinine within normal institutional limits
   * glycemia \< 100 mg/dl
7. Ability to understand and the willingness to sign a written informed consent document.
8. Forced expiratory volume in the 1st second(FEV1) ≥ 50
9. Patients after biopsy must have measurable disease defined as at least one lesion that can be accurately measured according to modified RECIST criteria; for resected patients no more than 3 months are allowed for RT start.
10. Written informed consent signed and dated before starting study procedure.
11. Female participants of child bearing potential and male participants whose partner is of child bearing potential must be willing to ensure that they or their partner use effective contraception during the study and for 4 months thereafter.

Exclusion Criteria:

1. Previous thorax radiotherapy
2. Chemotherapy is allowed but completed 3 weeks before RT starts
3. Participation in another clinical trial with any investigational agents within 30 days prior to study screening.
4. Patients with M1 have to be excluded to this study
5. FEV1 \< 50
6. Age \>85 years old
7. Respiratory needing oxygen therapy
8. Interstitial pneumopathy
9. Active pneumonitis
10. Fissural disease
11. Contralateral mediastinum involvement (N3) and M1
12. Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements.",RECRUITING
NCT06504927,Biomarker Discovery in Lung Cancer - Malaysia,Lung Cancer,"Inclusion Criteria:

* Male or female subjects aged 30 and above.
* No previous history of any cancers.
* Able to provide X-ray and/or LDCT results.
* Have either COPD or pulmonary nodules measuring less than 11mm, or deemed not for biopsy by attending physician
* Willing to go back for a follow-up X-ray or LDCT scan in the next clinical follow up as per standard of care.
* Willing to provide up to 30mL of blood in month-0 (first visit) and up to 21mL in the next standard of care follow up visit (second visit).

Exclusion Criteria:

* Subject has received chemotherapy or radiotherapy for cancer treatment, and any other cancer-related treatment.
* Subject is pregnant or lactating (self-declaration).
* Subject is unwilling or unable to provide signed informed consent",RECRUITING
NCT04560127,Camrelizumab in Combination With Apatinib in Patients With Radioactive Iodine-refractory Differentiated Thyroid Cancer,Radioactive Iodine-refractory Differentiated Thyroid Cancer,"Inclusion Criteria:

1. Aged after 18 years (18 is included). 2. Locally advanced or metastatic differentiated thyroid cancer (papillary, follicular, Hurthle cells, poorly differentiated carcinoma). At least one measurable lesion (helical CT scan long diameter ≥10mm, meet the requirements of the standard Response Evaluation Criteria In Solid Tumors（RESCIST） version 1.1).

3. ECOG-PS score 0-2 4. Life Expectancy of at least 12 weeks 5. Subjects must be 131I-refractory / resistant as defined by at least one of the following.

1. Lesions that do not demonstrate iodine uptake on any radioiodine scan.
2. Subjects received a single radioactive iodine therapy within 12 months (≥ 3.7 Giga Bequerel（GBq）\[≥ 100 millicurie（mCi）\]) and target lesion disease progression.
3. Every two radioactive iodine treatment interval \<12 months, doses ≥ 3.7 GBq \[≥100mCi\], disease progress more than 12 months after at least once iodine therapy.
4. Received a total dose of radioactive iodine therapy ≥ 22.2 GBq (≥ 600 mCi). 6. Have the required screening laboratory values.

Exclusion Criteria:

1. Other thyroid cancer histological subtypes (such as medullary carcinoma, lymphoma or sarcoma).
2. Any active autoimmune disease or history of autoimmune disease and expected recurrence (including but not limited to autoimmune hepatitis, interstitial pneumonia, uveitis, enteritis, hypophysitis, vasculitis, nephritis); subjects with skin diseases that does no need systemic treatment, for example, leukoderma, psoriasis, alopecia, those with controlled type I diabetes by insulin or those with asthma that has been completely resolved in childhood and with no need of any intervention can be enrolled; while subjects with asthma who need bronchodilator for medical intervention cannot be enrolled.
3. Use of strong CYP3A4/CYP2C19 inducers, including rifampicin (and its analogues) and St. John's Wort, or strong CYP3A4/CYP2C19 inhibitors within two weeks prior to signing informed consent form.
4. Previous treatment with other immune checkpoint inhibitors (include PD-1 antibody or other immunotherapy against PD-1/PD-L1).
5. Known history of serious allergy to any monoclonal antibody or Apatinib.
6. Inability or unwilling to swallow tablets, malabsorption syndrome or any condition affecting gastrointestinal absorption.
7. Previous or current presence of metastasis to central nervous system.
8. Severe infection within 4 weeks prior to the start of study treatment, including but not limited to hospitalization for infection, bacteremia or complications of severe pneumonia; oral or intravenous therapeutic antibiotics within two weeks prior to the start of study treatment (for example, subjects who are given with preventive antibiotics for prevention of urinary tract infection or exacerbation of chronic obstructive pulmonary disease are eligible for participation in the study).
9. Pregnant or lactating women.
10. Other factors that may affect the study results or lead to forced termination of the study early as judged by investigators, such as alcoholism, drug abuse, other serious diseases (including mental disorders) requiring concomitant therapy, with serious laboratory examination abnormality, with family or social factors, that may affect subject's safety.",RECRUITING
NCT06281327,Avatrombopag in the Treatment of Pediatric Immune Thrombocytopenia,"Immune Thrombocytopenia, Treatment","Inclusion Criteria:

* Age 6-18 years old (including both ends), male and female;
* Diagnosed with primary immune thrombocytopenia (ITP);
* Patients who had previously received eltrombopag treatment and then converted to avatrombopag treatment because of ineffectiveness (platelet count \< 30×10\^9/L after eltrombopag treatment, or platelet count increased less than 2 times of the basic value, or bleeding) or large platelet fluctuation or due to patient preference, economic reasons and other reasons;
* Cardiac function of the New York Society of Cardiac Function ≤ 2;
* Understand the study procedure and voluntarily sign the informed consent.

Exclusion Criteria:

* Secondary thrombocytopenia caused by various reasons, such as connective tissue disorders, bone marrow hematopoietic failure disease, myelodysplastic syndrome, malignancy, drugs, inherited thrombocytopenia, common variable immune deficiency, lymphoma, etc.;
* Subjects with primary disease of important organs (liver, kidney, heart, etc.), or with immune system diseases;
* Subjects who are known to be allergic to avatrombopag or any of its excipients;
* Subjects who had used rituximab within the last 3 months;
* Subjects who underwent splenectomy within the last 3 months；
* Subjects with a history of abnormal platelet aggregation that may affect the reliability of platelet count measurements；
* Any medical history or condition that the investigator deems unsuitable for participation in the study.",RECRUITING
NCT05536427,Safety and Efficacy of IPM001 in Patients With Advanced Hepatocellular Carcinoma,Hepatocellular Carcinoma,"Inclusion Criteria:

1. Subjects who understand and voluntarily sign the informed consent forms;
2. Subjects aged 18-75 years old (inclusive), male or female;
3. Subjects with progressive hepatocellular carcinoma who failed second-line therapy;
4. Subjects with an expected survival ≥ 6 months;
5. Subjects with a Child-Pugh score ≤ 7;
6. Subjects with an HLA A-02 genotype;
7. Subjects with a TBS score \< 8;
8. Subjects with an ECOG score of 0-2 (inclusive);
9. Male and female subjects of childbearing potential must agree to use highly effective contraceptive methods during the entire study and for at least 3 months after receiving the last treatment, and women of childbearing age must have a negative pregnancy test;
10. Weight: Male \> 50 kg, female \> 45 kg;
11. Subjects with liver tumor lesions that can be used for tumor tissue biopsy. If feasible, the subjects must agree to provide tumor tissue specimens at baseline;
12. Subjects with no major organ dysfunctions (by laboratory test): ① white blood cell count ≥ 3.0 × 109/L; ② neutrophil count ≥ 1.5 × 109/L; ③ hemoglobin ≥ 90 g/L; ④ platelet count ≥ 30 × 109/L; ⑤ total bilirubin ≤ 2 × ULN; ⑥ Serum AST (GOT) and ALT (GPT) ≤ 2.5 × ULN; ⑦ albumin ≥ 3.0 g/dL (30 g/L); ⑧ blood creatinine ≤ 1.5 × ULN; ⑨ generally normal bleeding and coagulation time, with PT prolongation ≤ 4 s; ⑩ no serious cardiopulmonary diseases;
13. For subjects with hepatitis B-related primary hepatocellular carcinoma (HBV-HCC) or hepatitis C-related primary hepatocellular carcinoma (HCV-HCC), those who are with the following conditions are eligible to be enrolled:

    1. HBV-HCC: resolved HBV infection (specified as with positive HBV surface antibody and HBV core antibody, negative HBV surface antigen, and the HBV-DNA below the lower limit of detection); chronic HBV infection (specified as with positive HBV surface antigen or the HBV-DNA above the lower limit of detection, as well as the HBV-DNA less than 106 copies/mL), with concomitant antiviral therapy.
    2. HCV-HCC: resolved or active HCV infection (specified as with positive HCV antibody or the HCV-RNA above the lower limit of detection, as well as the HCV-RNA less than 103 copies/mL), where concomitant antiviral therapy may be given for active HCV infection.
14. Subjects with no obvious genetic diseases;
15. Subjects who have not received any live attenuated vaccines within 4 weeks prior to the first administration;
16. Subjects who are able to follow the clinical study protocol and follow-up procedures.

Exclusion Criteria:

1. Subjects with immunodeficiency or a history of autoimmune disorders (e.g., rheumatoid arthropathy, systemic lupus erythematosus, vasculitis, multiple sclerosis, insulin-dependent diabetes mellitus, etc.);
2. Subjects with severe concurrent medical diseases, including severe heart disease, cerebrovascular disease, uncontrolled diabetes mellitus, uncontrolled hypertension, serious infection and infectious disease, active peptic ulcer, presence of active hemorrhage, and severe organ failure;
3. Subjects with myocardial infarction, severe or unstable angina, coronary or peripheral artery bypass grafting, Grade III or IV cardiac failure defined by the New York Heart Association (NYHA), epileptic seizure, and mechanical or paralytic ileus within 6 months prior to the first administration of the investigational drug;
4. Subjects who have received chemotherapy and hormonal therapy within 28 days prior to signing the informed consent forms, or are currently taking other investigational drugs;
5. Subjects with lymphoma, leukemia, myelodysplastic syndrome (MDS), or myelosuppression;
6. Subjects with allergy or a history of hypersensitivity to human blood albumin, or a history of allergy or hypersensitivity to any investigational drug or its excipients;
7. Subjects with chronic diseases requiring immunotherapy or hormonal therapy; and subjects currently receiving corticosteroids for other diseases (except those using topical or inhaled steroids);
8. Pregnant or lactating women;
9. Subjects with mental or neurological disorders that are not easily controlled;
10. Subjects infected with human immunodeficiency virus (commonly known as AIDS) or treponema pallidum (commonly known as syphilis);
11. Subjects with a history of other malignant tumors within the last 5 years;
12. Subjects with prior allogeneic stem cell transplantation or solid organ transplant;
13. Subjects with a history of drug or alcohol abuse;
14. Subjects with any irAE of ≥ Grade 3 following prior immunotherapy;
15. Subjects who, in the judgment of the investigator, are not suitable to participate in this clinical study (e.g., with poor compliance).",RECRUITING
NCT04998227,Latent TGF-β-binding Proteins Affect the Fibrotic Process in Renal Impairment and Cardiac Dysfunction,"Acute Coronary Syndrome, Acute Coronary Syndrome With Renal Dysfunction","Inclusion Criteria:

- acute coronary syndrome patients

Exclusion Criteria:

- cardiogenic shock, pregnancy, end-stage renal disease",RECRUITING
NCT05072327,Mohs Surgery Combind With Cryotherapy for Eyelid Malignant Tumors.,Eyelid Tumor,"Inclusion Criteria:

* Ability to provide written informed consent and comply with study assessments for the full duration of this study.
* Definite pathology signs of eyelid basal cell carcinoma, squamous cell carcinoma and sebacous carcinoma, Stage Tis to T3CN0M0 based on American Joint Committee on Cancer.
* Pathological examination showed the primary tumor was compeletely resected

Exclusion Criteria:

* Any previous treatment in the study eye
* Tumor complicated with infection
* Any other tumors of the paticipants
* Intolerate of surgery or anesthesia",RECRUITING
NCT06356376,The Effects of Pain and Pain Relief on Peripheral Nerve Excitability,Analgesia,"Inclusion Criteria:

* Healthy Participants able to give informed consent.

Exclusion Criteria:

* Chronic pain conditions
* Neurological or Psychiatric disease
* Other major diseases
* Pain medication within the last 24 hours",RECRUITING
NCT06200376,A Clinical Study of Intraperitoneal T3011 Given as a Single Agent in Patients With Malignant Ascites Induced by Advanced Colorectal Cancer,Malignant Ascites,"Inclusion Criteria:

1. Male or female age ≥ 18 years and ≤ 75 years at the time of informed consent.
2. Histologically or cytologically confirmed advanced unresectable or metastatic colorectal cancer;
3. Anticipated life expectancy ≥3 months
4. Associated with medium amount of malignant ascites (defined as the amount of ascites ≥3cm by B ultrasonography in lying position accompanied by clinical symptomes like abdonimal distension and cytology tests possitive for tumor in ascites); No paracentesis performed with 28 days before first dosing; and the ascites can not be controlled by SOC according to PI judgement.
5. ECOG performance status 0-2 (including threshold);
6. Weight ≥40kg
7. Hematology:

   * White blood cell (WBC) ≥ 3.0×10\^9/L;
   * Neutrophil (ANC) ≥ 1.5×10\^9/L;
   * Platelet (PLT) ≥ 75×10\^9/L;
   * Hemoglobin (Hb) ≥ 8.0g/dL
8. Hepatic and renal function:

   * Total bilirubin ≤ 1.5 × ULN;
   * Aspartate aminotransferase (AST)/alanine aminotransferase (ALT) ≤ 2.5 × ULN for patient without liver metastasis, ≤ 5 × ULN for patients with liver metastasis;
   * Serum creatinine ≤ 1.5×ULN, or creatinine clearance ≥ 50 mL/min as determined by the Cockcroft-Gault equation;
   * Abumin≥30 g/L
9. Coagulation:

   * INR≤1.5 x ULN;
   * APTT≤1.5 x ULN;
10. For women of childbearing potential (WCBP), serum pregnancy test should be negative within 14 days before dosing. WCBP patients, as well as male patients with partners of WCBP, should consent to use at least one medically approved contraceptive method (e.g. surgical sterilization, oral contraceptives, intrauterine devices, abstinence or barrier contraception combined with spermicides) during the study and for at least 6 months after the last dosing;
11. Willingness to attend this study, to sign informed consent, to have good compliance, and to cooperate with follow-up visit.

Exclusion Criteria:

1. Previously diagnosed with decompensated cirrhosis, and with portal vein and branch involvement or cancer embolus;
2. Pregnant or lactating, or plan to pregnant or give birth during the trial;
3. Persistent or active infection that are not controlled by treatment including but not limited to: active tuberculosis, non-negative HIV antibody, HBsAg positive and HBV DNA ≥LOQ, HCV ab positive and HCV DNA ≥LOQ;
4. Patients with imageological confirmed brain metastasis or brain metastasis history (except patients with stable disease within 3 months before screening and not require systemic glucorticoid therapy according to PI), pia meningeal disease, spinal cord compression;
5. Autoimmune disease or related symptoms, or previously suffered from autoimmune disease;
6. History of splenectomy or organ transplantation;
7. Prior treatment with Oncolytic virus (OV) (including but not be limited to T-VEC, T3011), gene therapy, cellular therapy or tumor vaccines;
8. Requires oral or intravenous therapy against herpes virus (including but not limited to acyclovir, valaciclovir, penciclovir, famciclovir, ganciclovir, foscarnet, cidofovir). Topical use of drugs (eg. external use) are allowed;
9. Patients are scheduled to receive other therapy against malignant ascites (including but not limited to chemotherapy, target therapy, immunotherapy), and the best supportive treatment for malignant ascites is permitted (e.g., albumin supplements, etc.);
10. Patients with a known psychiatric disorder that would interfere with cooperation with the requirements of the trial;
11. History of narcotics (recreational use) and substance abuse (including alcohol) within 1 year prior to signing informed consent;
12. History of allergic reactions attributed to compounds of similar biological composition to HSV-1, IL-12, or anti-PD-1 monoclonal antibody or any excipients for T3011;
13. History or evidence of high risk cardiovascular disease, including but not limited to:

    * Severe cardiac rhythm or conduction abnormalities, such as ventricular arrhythmias requiring clinical intervention, II-III degree atrioventricular block, QT interval corrected using the Fridericia formula (QTcF) ≥ 450 msec (male) or ≥ 470 msec (female);
    * Acute myocardial infarction, unstable angina pectoris, or stroke occurred within 6 months before the first administration of the experimental drug;
    * Coronary angioplasty or stent implantation within 6 months prior to first administration of the experimental drug;
    * Rating of heart function as defined by the New York Heart Association (NYHA) standards\>grade II; Cardiac valve abnormalities recorded by echocardiography (≥ grade 2). Note: Subjects with grade 1 cardiac valve abnormalities (such as mild regurgitation/stenosis) were admitted, but subjects with moderate valve thickening were excluded;
    * Left ventricular ejection fraction (LVEF) \< the center lower limit. If no lower limit existed, LVEF\<50%;
    * Poor blood pressure control after antihypertensive treatment (i.e. systolic blood pressure ≥160 mmHg and/or diastolic blood pressure ≥100 mmHg);
14. History of another malignant tumor, except the following:

    * Undergo potentially curative therapy and for ≥5 years prior to the first dose of study treatment and no malignancies with known active disease and low potential recurrence risk;
    * Adequately treated non-melanoma skin cancer or lentigo with no evidence of malignancy;
    * Adequately treated carcinoma in situ without evidence of disease;
15. Received live and attenuated vaccines within 4 weeks prior to initiation of study treatment, or plan to be vaccined during the study;
16. Previous history of immunotherapy induced non-infectious pneumonitis/ interstitial lung disease (including but not limited to ≥3 grade irAE) or intolerance to immunotherapy (including but not limited to anti-PD-(L)1 monoclonal Ab), except endocrine-related irAE that can be stably controlled by hormone replacement therapy;
17. Unexplained \>38.5℃ fever (except for tumor induced fever judged by PI) occurs during the screening period, baseline period or on the day of administration, which in the judgment of investigator, would interfere with patient participation in the study or patient's efficacy evaluation;
18. Any condition that PI considered may confuse the trial results, interfere with the participant's participation in the trial, or is not in the participant's best interest to participate in the trial, or a history of treatment or laboratory abnormalities, or other ineligibility for enrollment",RECRUITING
NCT04853576,A Study Evaluating the Safety and Efficacy of EDIT-301 in Participants With Severe Sickle Cell Disease (RUBY),"Sickle Cell Disease, Hemoglobinopathies","Key Inclusion Criteria:

Diagnosis of severe sickle cell disease as defined by:

* Documented SCD genotype (βS/βS, βS/β0, βS/β+, or others) and
* History of at least two severe vaso-occlusive events per year requiring medical attention despite hydroxyurea or other supportive care measures in the two year-period prior to provision of informed consent or assent, as applicable

Karnofsky (for subjects \>16 years of age) or Lansky (for subjects ≤ 16 years of age) Performance Status ≥ 80%

Normal transcranial doppler velocity in subjects 16 years of age or younger

Key Exclusion Criteria:

* Available 10/10 HLA-matched related donor
* Prior HSCT or contraindications to autologous HSCT
* Any contraindications to the use of plerixafor during the mobilization of hematopoietic stem cells (HSCs) and any contraindications to the use of busulfan and any other medicinal products required during the myeloablative conditioning, including hypersensitivity to the active substances or to any of the excipients
* Unable to receive red blood cell (RBC) transfusion for any reason
* Unable or unwilling to comply with standard of care changes in background medical treatment in preparation of, during, or following HSCT, including and not limited to discontinuation of hydroxyurea, voxelotor, crizanlizumab, or L-glutamine
* Any history of severe cerebral vasculopathy
* Inadequate end organ function
* Advanced liver disease
* Any prior or current malignancy or immunodeficiency disorder
* Immediate family member with a known or suspected Familial Cancer Syndrome
* Clinically significant and active bacterial, viral, fungal, or parasitic infection

Other protocol defined inclusion/exclusion criteria may apply",RECRUITING
NCT06552676,riSk Factors fOR neCk phlEgmon afteR pErcutaneous tRacheostomy in ICU,"Tracheostomy Complication, Quality of Life","Inclusion Criteria:

* Age greater than 18 years
* Presence of indication for tracheostomy

Exclusion Criteria:

* Failure of the percutaneous tracheostomy technique or recourse to surgical tracheostomy",RECRUITING
NCT05309876,Secondary Prevention With the Lifestyle Tool,Cardiovascular Diseases,"Inclusion Criteria:

* age 35 to 80 years
* myocardial infarction within one year prior to enrolment
* access to computer or mobile phone.

Exclusion Criteria:

* conditions or treatments that in the judgement of the Investigator could affect the study evaluation",RECRUITING
